EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Display,Direction,Timestamp
70072.2,-1797.44,-789.732,23968.8,-103096,86629.9,474389,-635854,0.0275879,0.95874,-0.128418,0,0,0,66.6667,1,1,Text,Right,1683
-31614,58715.4,127.941,663.31,53672.5,-7073.61,203166,-750000,0.0256348,0.972168,-0.136963,0,0,0,66.6667,2,1,Text,Right,4312
-104958,44879.7,-56.8628,356.197,45628.9,-8727.73,110851,-376947,0.0253906,0.975342,-0.138428,0,0,0,66.6667,3,1,Text,Right,6715
-42636.8,35291.6,-2536.65,222.445,36995.2,-9529.09,74778.2,-97960.7,0.0249023,0.97876,-0.139648,0,0,0,66.6667,4,1,Text,Right,9171
-9302.71,27458.6,-7160.69,3245.56,27757.5,-4610.27,54716.9,-8676.86,0.0256348,0.980713,-0.140381,-0.152588,-0.12207,-0.0915527,66.6667,5,1,Text,Right,11710
-1076.64,14013.7,-1531.18,2039.19,10675.4,7718.59,27396.2,9450.14,0.0234375,0.979248,-0.140869,-4.63867,-2.2583,-1.98364,66.6667,6,1,Text,Right,14289
4026.18,10378.1,1598.51,1794.04,3432.87,9142.58,4401.68,16327.3,0.0239258,0.97998,-0.141602,-2.10571,0.640869,0.671387,66.6667,7,1,Text,Right,16483
3317.09,9384.87,1849.29,3068.98,2565.18,7002.89,2998.62,16176.8,0.0263672,0.97998,-0.141357,-1.43433,1.52588,1.37329,66.6667,8,1,Text,Right,73061
5164.06,-7921.55,1978.04,4204.99,2900.18,6989.21,3262.64,22973.8,0.0283203,0.980225,-0.142822,-1.15967,1.89209,1.58691,66.6667,9,1,Text,Right,75592
5578.91,1606.46,2497.23,5587.67,2952.49,5229.06,3358.93,11152.2,0.0266113,0.981201,-0.144775,-0.976562,2.01416,1.58691,66.6667,10,1,Text,Right,78048
3346.41,4190.24,2622.57,3153.92,2741.13,3521.56,2994.51,3598.01,0.0273438,0.979736,-0.141846,-0.823975,2.22778,1.52588,66.6667,11,1,Text,Right,78303
3176.45,3913.7,2678.54,2959.37,2754.54,3303.23,3030.81,3344.18,0.0258789,0.97998,-0.145508,-0.793457,2.22778,1.58691,66.6667,12,1,Text,Right,80552
3157.77,3025.35,2625.08,3011.58,2657.09,3115.39,3046.19,3259.69,0.0251465,0.980957,-0.145752,-0.671387,2.2583,1.49536,66.6667,13,1,Text,Right,204202
3088.39,2586.37,2529.32,2899.11,2348.27,2759.01,2961.34,3100.54,0.0231934,0.981934,-0.141602,-0.732422,2.34985,1.37329,66.6667,14,1,Text,Right,210579
3000.41,2737.11,2806.04,2146.13,1933.25,2134.06,2701.97,3175.56,0.0236816,0.984375,-0.143555,-0.671387,2.38037,1.25122,66.6667,15,1,Text,Right,266804
3248.07,3169.84,3218.11,2369.64,2412.29,2434.73,2860.22,3330.05,0.0227051,0.984131,-0.144043,-0.671387,2.41089,1.2207,66.6667,16,1,Text,Right,269188
3634.04,3214.27,3167.15,3209.17,3121.47,3378.51,3456.83,3419.19,0.0249023,0.981934,-0.144775,-0.762939,2.41089,1.15967,66.6667,17,1,Text,Right,271748
3525.14,3388.97,3317.09,3826.17,3365.19,3366.08,3404.53,3606.14,0.0251465,0.981934,-0.143799,-0.762939,2.50244,1.12915,66.6667,18,1,Text,Right,275453
3571.63,3526.3,3499.93,4280.36,3468.01,3508.15,3504.57,3507.53,0.0234375,0.98291,-0.144287,-0.701904,2.50244,1.15967,66.6667,19,1,Text,Right,275624
3591.12,3572.79,3534.79,3871.23,3555.81,3579.05,3549.19,3575.03,0.0229492,0.985107,-0.140381,-0.732422,2.47192,1.15967,66.6667,20,1,Text,Right,275776
3606.86,3588.62,3547.58,3621.43,3575.21,3616.15,3563.85,3604.17,0.0239258,0.986084,-0.141357,-0.823975,2.50244,1.19019,66.6667,21,1,Text,Right,329339
3618.21,3595.86,3556.97,3567.07,3582.45,3628.58,3571.36,3619.19,0.0229492,0.985596,-0.144043,-0.793457,2.47192,1.2207,66.6667,22,1,Text,Right,329503
3622.59,3597.29,3561.8,3574.85,3586.02,3632.78,3575.03,3620.36,0.0214844,0.984619,-0.144775,-0.762939,2.50244,1.28174,66.6667,23,1,Text,Right,329630
3621.88,3597.11,3564.66,3579.77,3589.15,3631.89,3576.99,3619.91,0.0202637,0.98584,-0.143311,-0.762939,2.41089,1.2207,66.6667,24,1,Text,Right,331660
3621.25,3595.59,3567.16,3581.73,3591.3,3631.35,3576.82,3619.37,0.0185547,0.985107,-0.142822,-0.762939,2.44141,1.2207,66.6667,25,1,Text,Right,334229
3621.07,3593.09,3569.57,3582.36,3593.62,3631.26,3577.89,3619.73,0.0195312,0.984375,-0.141113,-0.732422,2.28882,1.46484,66.6667,26,1,Text,Right,340579
3621.79,3592.82,3571.27,3582.36,3596.04,3631.18,3580.3,3620.36,0.0195312,0.985107,-0.143066,-0.701904,2.2583,1.43433,66.6667,27,1,Text,Right,341173
3622.06,3593.53,3573.15,3583.34,3598.01,3632.07,3582.18,3620,0.0195312,0.986328,-0.143555,-0.701904,2.16675,1.49536,66.6667,28,1,Text,Right,393192
3622.95,3594.16,3575.65,3584.5,3601.4,3634.3,3584.95,3620.45,0.0202637,0.988037,-0.142822,-0.640869,2.16675,1.46484,66.6667,29,1,Text,Right,393393
3624.65,3594.25,3578.25,3585.76,3604.62,3637.52,3587.37,3621.97,0.0217285,0.986816,-0.146484,-0.640869,2.10571,1.64795,66.6667,30,1,Text,Right,395437
3625.36,3595.32,3581.02,3587.28,3605.78,3638.86,3590.41,3623.93,0.0212402,0.985596,-0.143066,-0.701904,2.0752,1.83105,66.6667,31,1,Text,Right,397949
3626.44,3596.75,3583.61,3588.98,3608.11,3641.46,3592.64,3625.81,0.020752,0.985596,-0.146484,-0.701904,2.01416,1.77002,66.6667,32,1,Text,Right,400539
3627.69,3597.74,3586.2,3590.05,3609.54,3644.14,3594.7,3626.17,0.0195312,0.986816,-0.145752,-0.640869,1.89209,1.80054,66.6667,33,1,Text,Right,402937
3628.85,3598.54,3588.44,3592.37,3611.24,3645.93,3596.66,3627.15,0.0180664,0.987549,-0.144531,-0.823975,1.77002,1.98364,66.6667,34,1,Text,Right,405439
3630.37,3600.06,3591.3,3594.25,3614.19,3647.89,3598.27,3628.22,0.0187988,0.986816,-0.143799,-0.88501,1.67847,2.10571,66.6667,35,1,Text,Right,461888
3632.16,3602.21,3593.62,3595.77,3616.33,3649.77,3600.15,3630.1,0.0192871,0.986328,-0.145996,-0.976562,1.67847,2.10571,66.6667,36,1,Text,Right,464251
3633.05,3603.46,3595.77,3596.93,3617.05,3651.29,3602.56,3631.18,0.0202637,0.986084,-0.144775,-0.946045,1.37329,1.98364,66.6667,37,1,Text,Right,466667
3634.13,3604.35,3596.93,3599.35,3618.21,3652.81,3604.35,3631.98,0.020752,0.985107,-0.145752,-1.00708,1.31226,2.04468,66.6667,38,1,Text,Right,469184
3634.93,3605.43,3599.08,3601.49,3620.18,3653.88,3605.25,3633.14,0.0217285,0.985107,-0.142822,-0.976562,1.28174,2.01416,66.6667,39,1,Text,Right,471580
3635.82,3606.95,3600.69,3602.48,3621.34,3654.51,3606.5,3634.13,0.0209961,0.986328,-0.141846,-0.915527,1.2207,2.04468,66.6667,40,1,Text,Right,524307
3636.63,3608.82,3601.85,3603.91,3623.58,3655.31,3608.64,3634.66,0.0224609,0.986572,-0.140869,-0.976562,1.12915,2.10571,66.6667,41,1,Text,Right,526660
3638.06,3609.18,3603.37,3605.43,3624.47,3656.21,3609.45,3635.38,0.0229492,0.985107,-0.142822,-1.0376,0.915527,2.19727,66.6667,42,1,Text,Right,529185
3639.22,3609.45,3605.16,3606.86,3624.83,3657.37,3610.7,3636.72,0.0217285,0.983398,-0.142334,-1.09863,0.793457,2.19727,66.6667,43,1,Text,Right,531690
3640.29,3611.59,3606.77,3608.29,3625.63,3658.18,3611.86,3637.25,0.0214844,0.984131,-0.145264,-1.09863,0.823975,2.22778,66.6667,44,1,Text,Right,534320
3640.92,3612.67,3607.93,3609.45,3626.44,3658.44,3613.03,3638.06,0.020752,0.983154,-0.143555,-1.09863,0.671387,2.31934,66.6667,45,1,Text,Right,536492
3641.81,3613.65,3608.82,3610.52,3627.15,3658.44,3613.92,3639.04,0.0195312,0.983398,-0.14209,-1.12915,0.457764,2.22778,66.6667,46,1,Text,Right,590523
3642.62,3614.55,3610.34,3611.86,3628.4,3659.7,3615.08,3639.49,0.0200195,0.984131,-0.144531,-1.06812,0.396728,2.28882,66.6667,47,1,Text,Right,592936
3643.16,3615.62,3611.24,3613.11,3629.83,3660.41,3615.71,3640.03,0.0205078,0.984863,-0.143555,-1.15967,0.244141,2.38037,66.6667,48,1,Text,Right,595460
3643.42,3616.33,3612.22,3614.01,3630.73,3660.95,3616.33,3640.38,0.0227051,0.983643,-0.144287,-1.2207,0.0305176,2.22778,66.6667,49,1,Text,Right,597954
3644.41,3617.05,3613.2,3615.53,3631.09,3660.95,3617.23,3641.28,0.020752,0.983154,-0.143555,-1.25122,-0.0915527,2.28882,66.6667,50,1,Text,Right,600395
3645.39,3617.67,3614.28,3616.42,3631.53,3661.31,3618.3,3642.17,0.0209961,0.982422,-0.141846,-1.2207,-0.183105,2.34985,66.6667,51,1,Text,Right,689468
3645.75,3618.84,3615.44,3617.05,3632.07,3662.02,3619.11,3642.98,0.0212402,0.981445,-0.142822,-1.28174,-0.366211,2.22778,66.6667,52,1,Text,Right,689694
3646.11,3619.55,3615.71,3617.76,3632.96,3662.56,3619.55,3643.42,0.0219727,0.981201,-0.141602,-1.09863,-0.427246,2.28882,66.6667,53,1,Text,Right,689881
3646.91,3620,3615.98,3618.84,3634.3,3662.74,3620.63,3643.69,0.0222168,0.980713,-0.144287,-1.19019,-0.640869,2.19727,66.6667,54,1,Text,Right,690066
3647.72,3620.27,3617.05,3619.64,3634.48,3663.81,3620.98,3644.32,0.0241699,0.980469,-0.141357,-1.15967,-0.671387,2.16675,66.6667,55,1,Text,Right,690456
3648.52,3620.89,3618.39,3619.91,3634.93,3663.81,3621.7,3645.39,0.0251465,0.981689,-0.141113,-1.25122,-0.762939,2.34985,66.6667,56,1,Text,Right,690643
