EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Display,Direction,Timestamp
88328.2,-26039.4,-107031,309115,126916,9406.78,727464,-750000,0.0727539,0.95459,-0.156494,0,0,0,66.6667,1,1,Arrow,Right,1705
-20659.8,73324.2,0.804663,16053.2,91384.9,-188.738,417668,-750000,0.0698242,0.970947,-0.165283,0,0,0,66.6667,2,1,Arrow,Right,10503
-163580,52028.3,-1.87755,-553.519,54187.4,-2288.1,167290,-732488,0.0698242,0.973877,-0.166992,0,0,0,66.6667,3,1,Arrow,Right,12983
-119483,39033.7,-495.672,-1207.44,41623.1,-9035.47,92134.4,-278378,0.0708008,0.976562,-0.171387,0,0,0,66.6667,4,1,Arrow,Right,15283
-16167.8,30999.2,-4658.64,1942.63,31757.6,-9710.04,60792.5,-40708.1,0.0722656,0.977539,-0.169678,-0.12207,-0.0915527,-0.0915527,66.6667,5,1,Arrow,Right,67935
-4977.47,19889.8,-4293.77,2834.47,17505.3,1241.95,39306.9,3132.73,0.0751953,0.978027,-0.170898,-4.88281,-3.96728,-2.50244,66.6667,6,1,Arrow,Right,70422
2866.48,10757.4,1494.17,2302.32,3693.58,8720.85,8871.5,13771.6,0.0737305,0.977295,-0.171631,-1.98364,-1.49536,0.244141,66.6667,7,1,Arrow,Right,72895
2954.01,10193.3,2155.78,3816.87,2211.3,6036.85,2544.34,13837.9,0.0739746,0.976562,-0.173828,-1.34277,-0.793457,1.06812,66.6667,8,1,Arrow,Right,75527
4451.22,-6425.14,2558.29,4940.54,2703.13,5585.34,2800.94,17657.6,0.072998,0.976562,-0.173584,-1.0376,-0.427246,1.34277,66.6667,9,1,Arrow,Right,77903
5352.62,296.652,2688.2,6103.55,3115.83,4705.4,3353.3,10432.5,0.074707,0.976562,-0.174561,-0.88501,-0.305176,1.49536,66.6667,10,1,Arrow,Right,80256
3317.8,4321.58,2723.34,3285.8,2819.54,3481.6,2944.62,3528.8,0.0742188,0.975586,-0.174805,-0.732422,-0.12207,1.40381,66.6667,11,1,Arrow,Right,134410
3109.4,4053.18,2851.1,2859.95,2791.38,3355.8,2917.35,3282.94,0.0739746,0.975586,-0.176025,-0.732422,0,1.49536,66.6667,12,1,Arrow,Right,136738
3056.38,3233.67,2877.47,2876.22,2761.69,3267.38,2893.84,3224.82,0.0754395,0.976562,-0.176514,-0.671387,0.152588,1.43433,66.6667,13,1,Arrow,Right,139195
2914.58,2902.87,2887.76,2685.7,2546.49,3095.63,2800.14,3112.35,0.0754395,0.977295,-0.174561,-0.732422,0.152588,1.34277,66.6667,14,1,Arrow,Right,141697
2752.75,3038.68,3141.67,1912.06,2040.62,2737.28,2555.52,3228.67,0.0751953,0.976074,-0.175049,-0.610352,0.335693,1.34277,66.6667,15,1,Arrow,Right,144183
2958.48,3367.34,3479.63,2009.6,2356.68,2806.04,2493.47,3409.89,0.0769043,0.974121,-0.174072,-0.488281,0.396728,1.43433,66.6667,16,1,Arrow,Right,196796
3454.33,3332.91,3416.96,2870.86,3076.23,3732.21,3114.76,3464.16,0.0769043,0.971191,-0.176025,-0.518799,0.610352,1.37329,66.6667,17,1,Arrow,Right,199154
3479.36,3454.33,3449.23,3525.68,3344.09,3615.35,3218.47,3665.95,0.0769043,0.970703,-0.178711,-0.518799,0.640869,1.34277,66.6667,18,1,Arrow,Right,201722
3570.2,3577.62,3504.22,4191.49,3458.08,3571.99,3461.57,3571.54,0.0766602,0.970215,-0.180176,-0.549316,0.762939,1.31226,66.6667,19,1,Arrow,Right,204212
3594.88,3577.08,3537.83,3873.29,3558.13,3581.11,3544.27,3584.42,0.0744629,0.970703,-0.174072,-0.457764,0.762939,1.34277,66.6667,20,1,Arrow,Right,212931
