EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Eyes X,Eyes Y, Eyes Direction,Display,Direction,Timestamp
149443.500000,9749.652344,-20600.708984,103011.953125,-130008.304688,73982.578125,264735.312500,-357410.843750,-0.153564,0.961914,0.102783,0.000000,0.000000,0.000000,40.000000,1.000000,1.000000,20,26,None,None,None,13062
-24796.490234,52774.167969,-7.241966,5.900861,44497.585938,-12874.336914,120108.265625,-400329.343750,-0.162598,0.981934,0.092773,0.000000,0.000000,0.000000,40.000000,2.000000,1.000000,18,26,None,None,None,826826
-47184.890625,42174.972656,-1688.987305,220.298798,38512.503906,-9602.846680,82711.203125,-145882.421875,-0.164551,0.988770,0.086670,0.000000,0.000000,0.000000,40.000000,3.000000,1.000000,22,22,None,None,None,939971
-12270.035156,33216.750000,-6787.599121,2832.323730,30592.208984,-5481.452637,60283.015625,-30630.207031,-0.163086,0.990967,0.086670,0.000000,0.000000,0.000000,40.000000,4.000000,1.000000,21,23,None,None,None,1040469
-1208.692993,18618.378906,-2448.767822,2674.520508,13868.631836,8458.168945,36156.093750,6356.925781,-0.163574,0.989258,0.090576,0.000000,0.000000,0.000000,40.000000,5.000000,1.000000,22,23,None,None,None,1125128
4294.038574,11903.914062,1718.670410,1256.615112,4079.551270,11553.169922,6874.324219,16966.136719,-0.165771,0.991211,0.087646,-6.591796,-4.425048,-12.054442,40.000000,6.000000,1.000000,23,22,None,None,None,1205356
2920.300293,12828.114258,1755.595459,2838.313965,2808.362793,8467.735352,3021.598389,15891.107422,-0.166992,0.989258,0.085693,-2.624511,0.122070,-2.838135,40.000000,7.000000,1.000000,25,28,None,None,None,1290943
3506.094727,8880.884766,1937.806885,3656.566650,2908.230225,7421.852539,3062.099609,22141.191406,-0.166504,0.990234,0.085938,-1.617432,1.373291,-0.488281,40.000000,8.000000,1.000000,24,27,None,None,None,1379393
5918.742188,2169.818115,2264.857666,5767.286621,3157.228760,6729.931641,3344.268066,19788.537109,-0.164307,0.990479,0.086670,-1.251221,1.861572,0.335693,40.000000,9.000000,1.000000,25,24,None,None,None,1466687
4013.479492,4366.994629,2552.122314,4322.738281,2803.624023,4105.747559,3052.443848,5083.501953,-0.165527,0.990234,0.084473,-1.129150,2.075195,0.823975,40.000000,10.000000,1.000000,31,25,None,None,None,1553394
3090.441650,4353.583496,2649.128906,2893.656982,2744.615479,3365.189453,3004.968750,3353.566406,-0.165771,0.990479,0.085205,-1.068115,2.105713,0.946045,40.000000,11.000000,1.000000,31,26,None,None,None,1641392
3037.423340,4007.399658,2656.370850,2990.127197,2718.776855,3210.783447,3035.635254,3304.571533,-0.164307,0.991211,0.083984,-1.068115,2.044677,0.976562,40.000000,12.000000,1.000000,31,27,None,None,None,1725979
2870.500488,2847.075928,2549.082520,2954.006592,2494.633545,2936.751221,2999.782959,3153.562988,-0.164062,0.990723,0.084229,-1.190185,2.014160,0.946045,40.000000,13.000000,1.000000,31,26,None,None,None,1813670
2649.844238,2476.036865,2627.850098,2407.908936,2021.938843,2360.970215,2779.931396,3102.958740,-0.164062,0.990479,0.085449,-1.098633,2.044677,1.007080,40.000000,14.000000,1.000000,23,22,None,None,None,1908101
2761.960449,2996.922119,3041.446777,1956.582397,2144.515869,2209.782959,2530.396484,3324.062256,-0.163330,0.990479,0.084473,-1.129150,1.892090,0.915527,40.000000,15.000000,1.000000,31,27,None,None,None,1995525
3359.109619,3180.474609,3149.003418,3083.557373,2963.215576,3182.262695,3341.049561,3378.689941,-0.163330,0.989014,0.082520,-1.098633,2.044677,1.007080,40.000000,16.000000,1.000000,30,27,None,None,None,2080236
3443.420410,3312.081543,3230.006104,3547.758545,3338.009766,3364.474121,3457.814941,3602.117920,-0.165283,0.990234,0.081543,-1.007080,2.105713,0.976562,40.000000,17.000000,1.000000,32,26,None,None,None,2167206
3534.347412,3492.951904,3467.560303,4336.417480,3415.883057,3481.597168,3478.736328,3576.368652,-0.165283,0.989746,0.084473,-0.946045,2.014160,0.976562,40.000000,18.000000,1.000000,28,28,None,None,None,2252807
3588.885742,3565.013916,3529.608887,4086.793213,3534.079102,3562.510498,3548.831299,3537.208496,-0.164795,0.989990,0.086182,-0.915527,2.014160,0.915527,40.000000,19.000000,1.000000,32,27,None,None,None,2336076
