EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Display,Direction,Timestamp
104469,34175.3,-21779.9,116091,148970,13306.3,665776,-745359,0.0595703,0.976318,0.113037,0,0,0,66.6667,1,1,Arrow,Down,5546
-26023.8,70616.6,0,20.7424,76998.2,-6561.13,330486,-750000,0.0566406,0.991699,0.105713,0,0,0,66.6667,2,1,Arrow,Down,8021
-147510,51493.9,-0.268221,55.2535,50978,-7321.36,142079,-626243,0.0537109,0.998047,0.101318,0,0,0,66.6667,3,1,Arrow,Down,10437
-88777.8,39151.6,-693.083,2409.52,40156.2,-10833.2,87273,-205200,0.0539551,1.00098,0.102051,0,0,0,66.6667,4,1,Arrow,Down,12946
-12555.2,30918.1,-4375.31,6731.72,30780.2,-8287.4,59668.6,-22371.8,0.0527344,1,0.102295,-0.0610352,-0.0610352,-0.12207,66.6667,5,1,Arrow,Down,15434
-3527.28,18510.9,-1829.18,4178.7,15565.2,2988.7,36541.9,5341.44,0.0515137,1.00171,0.0998535,-3.32642,1.89209,-3.38745,66.6667,6,1,Arrow,Down,17751
3668.73,10751.4,3274.53,3451.38,3693.13,8400.95,7353.63,15354.4,0.0515137,1.00342,0.0986328,-3.14331,4.60815,-0.915527,66.6667,7,1,Arrow,Down,75583
3007.47,9985.24,3911.56,5305.5,2272.64,6596.72,3064.16,15273,0.0512695,1.00317,0.098877,-3.17383,5.64575,-0.274658,66.6667,8,1,Arrow,Down,77961
4847.91,-5353.33,4857.75,6837.85,2568.3,6140.92,3543.11,20518.9,0.0510254,1.00317,0.100342,-3.23486,5.92041,-0.0610352,66.6667,9,1,Arrow,Down,80556
5278.5,2442.78,3421.25,6654.2,2949.18,4890.56,3862.56,10499.6,0.0488281,1.00537,0.102539,-3.2959,6.04248,-0.0610352,66.6667,10,1,Arrow,Down,82773
3122.72,4412.32,2407.01,3292.05,3061.92,3767.52,3278.29,3869.09,0.0493164,1.0061,0.102051,-3.38745,5.98144,0,66.6667,11,1,Arrow,Down,135566
2962.59,4155.01,2385.74,3166.44,3249.41,3728.18,3381.37,3824.92,0.0493164,1.00659,0.100586,-3.38745,5.98144,-0.0610352,66.6667,12,1,Arrow,Down,138112
2818.56,3418.74,2174.65,3298.31,3411.06,3786.74,3546.42,3991.13,0.0473633,1.00586,0.101318,-3.479,5.82886,-0.152588,66.6667,13,1,Arrow,Down,140545
2517.52,3306.54,1964.54,3313.51,3641.37,3895.37,3796.49,4304.59,0.0478516,1.00708,0.103027,-3.63159,5.67627,-0.274658,66.6667,14,1,Arrow,Down,142936
2163.47,3580.03,2321.72,2553.82,3823.76,3666.22,3727.2,4772.28,0.0478516,1.0061,0.10498,-3.63159,5.5542,-0.213623,66.6667,15,1,Arrow,Down,147978
2680.24,3670.6,2813.73,3206.4,4119.78,4034.49,3677.94,4503.25,0.046875,1.0061,0.106445,-3.66211,5.49316,-0.12207,66.6667,16,1,Arrow,Down,271770
3263.09,3497.15,2978.95,3633.14,4065.25,4495.56,3982.1,4049.15,0.0456543,1.0061,0.107422,-3.72314,5.40161,-0.152588,66.6667,17,1,Arrow,Down,277905
