EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Display,Direction,Timestamp
104217,-15127.8,-83372.7,37656.5,159014,29559.1,710958,-750000,-0.0195312,0.969971,0.252686,0,0,0,66.6667,1,1,Arrow,Left,2155
-14848,72474.2,0,51.6772,84765.1,-6765.78,369110,-750000,-0.0209961,0.983154,0.248047,0,0,0,66.6667,2,1,Arrow,Left,4534
-133923,52807,-0.089407,-399.381,52944,-6266.62,154612,-700246,-0.0222168,0.989014,0.246582,0,0,0,66.6667,3,1,Arrow,Left,7212
-127122,40259.1,-507.116,-439.525,41048.2,-9359.66,89487,-221683,-0.0234375,0.990967,0.24585,0,0,0,66.6667,4,1,Arrow,Left,9793
-21718.5,31990.2,-4914.08,2799.69,31288.7,-7749.71,59721.8,-16506,-0.0224609,0.99292,0.243896,-0.0610352,-0.0610352,-0.0610352,66.6667,5,1,Arrow,Left,11932
-3347.13,19641.8,-3305.73,2837.51,16203.3,3279.54,36943.1,5268.75,-0.0219727,0.992432,0.243164,-5.64575,-3.2959,-3.2959,66.6667,6,1,Arrow,Left,64713
3149.54,10492.3,1899.45,2379.39,3946.51,9296.18,7387.88,15379.6,-0.0209961,0.992188,0.243896,-2.74658,0,-0.0915527,66.6667,7,1,Arrow,Left,67103
2907.16,11427.3,2358.38,3957.15,2682.21,7155.96,2686.05,15720.8,-0.0200195,0.991211,0.241943,-2.0752,0.946045,0.732422,66.6667,8,1,Arrow,Left,67241
4586.76,-822.634,2872.29,5200.63,3166.26,7240.89,2948.28,20038.6,-0.0209961,0.990723,0.242188,-1.86157,1.40381,1.0376,66.6667,9,1,Arrow,Left,69678
5600.1,677.794,2754.36,5678.33,3171.53,5486.28,3096.61,9697.44,-0.0187988,0.989502,0.240723,-1.70898,1.64795,1.19019,66.6667,10,1,Arrow,Left,72130
